maquina,tipo_rotura,cantidad,fecha
URDIDORA # 01,Interferencia entre hilos,35,20260909
URDIDORA # 01,Moña,22,20260909
URDIDORA # 01,Queso picado externo,5,20260909
URDIDORA # 01,Cola o reserva,4,20260909
URDIDORA # 01,Queso terminado,2,20260909
URDIDORA # 01,Hilos sueltos,30,20260909
URDIDORA # 03,Interferencia entre antibalon,8,20260909
URDIDORA # 03,Interferencia entre hilos,6,20260909
URDIDORA # 03,Moña,4,20260909
URDIDORA # 03,Interferencia manipulacion,1,20260909
URDIDORA # 03,Hilos sueltos,8,20260909
