maquina,tipo_rotura,cantidad,fecha
URDIDORA # 01,Interferencia entre hilos,23,20260910
URDIDORA # 01,Moña,12,20260910
URDIDORA # 01,Interferencia manipulacion,2,20260910
URDIDORA # 01,Baquelita,1,20260910
URDIDORA # 01,Hilos sueltos,8,20260910
URDIDORA # 02,Moña,5,20260910
URDIDORA # 02,Interferencia entre hilos,4,20260910
URDIDORA # 02,Hilos sueltos,3,20260910
URDIDORA # 03,Moña,17,20260910
URDIDORA # 03,Cola o reserva,5,20260910
URDIDORA # 03,Hilo debil,1,20260910
URDIDORA # 03,Hilos sueltos,6,20260910
